source_doi,source_doc,source_group,strength_grade,mix_label,compressive_true,flexural_true,fiber_content,aspect_ratio,tensile_strength,fiber_content_x_aspect_ratio,w_b_ratio,binder_content,cement_content,fly_ash,slag_powder,mixing_water,sand_content,stone_content,admixture_dosage,steel_fiber_kg_m3,basalt_fiber_kg_m3,pp_fiber_kg_m3,density_kg_m3,curing_days
LOCAL_DOC/HUANGYIMENG0522,–Ï¿§,XUkun/C30_BASE,C30,ª˘◊º,48.99,3.97,0,0,0,0,0.459,370,208,81,81,170,837,1023,7.4,0,0,0,0,28
LOCAL_DOC/HUANGYIMENG0522,–Ï¿§,XUkun/C31_BASE,C30,∏÷œÀŒ¨,42.77,5.64,0.318471,46.666667,1200,14.861980106157,0.459,370,208,81,81,170,837,1023,7.4,25,0,0,7850,28
LOCAL_DOC/HUANGYIMENG0522,–Ï¿§,XUkun/C32_BASE,C30,–˛Œ‰—“œÀŒ¨,42.91,4.79,0.150943,705.882353,2600,106.548000008879,0.459,370,208,81,81,170,837,1023,7.4,0,4,0,2650,28
LOCAL_DOC/HUANGYIMENG0522,–Ï¿§,XUkun/C33_BASE,C30,æ€±˚œ©œÀŒ¨,40.38,5.27,0.10989,291.666667,550,32.05125004,0.459,370,208,81,81,170,837,1023,7.4,0,0,1,910,28
LOCAL_DOC/HUANGYIMENG0522,–Ï¿§,XUkun/C34_BASE,C40,ª˘◊º,46.36,5.53,0,0,0,0,0.38,437,284,79,74,166,763,1054,9.7,0,0,0,0,28
LOCAL_DOC/HUANGYIMENG0522,–Ï¿§,XUkun/C35_BASE,C40,∏÷œÀŒ¨,49.82,6.18,0.318471,46.666667,1200,14.861980106157,0.38,437,284,79,74,166,763,1054,9.7,25,0,0,7850,28
LOCAL_DOC/HUANGYIMENG0522,–Ï¿§,XUkun/C36_BASE,C40,–˛Œ‰—“œÀŒ¨,44.21,4.67,0.150943,705.882353,2600,106.548000008879,0.38,437,284,79,74,166,763,1054,9.7,0,4,0,2650,28
LOCAL_DOC/HUANGYIMENG0522,–Ï¿§,XUkun/C37_BASE,C40,æ€±˚œ©œÀŒ¨,49.62,6.08,0.10989,291.666667,550,32.05125004,0.38,437,284,79,74,166,763,1054,9.7,0,0,1,910,28
LOCAL_DOC/HUANGYIMENG0522,–Ï¿§,XUkun/C38_BASE,C50,ª˘◊º,55.86,6.81,0,0,0,0,0.32,516,330,93,93,165,686,1073,10.8,0,0,0,0,28
LOCAL_DOC/HUANGYIMENG0522,–Ï¿§,XUkun/C39_BASE,C50,∏÷œÀŒ¨,56.34,6.96,0.318471,46.666667,1200,14.861980106157,0.32,516,330,93,93,165,686,1073,10.8,25,0,0,7850,28
LOCAL_DOC/HUANGYIMENG0522,–Ï¿§,XUkun/C40_BASE,C50,–˛Œ‰—“œÀŒ¨,55.83,6.66,0.150943,705.882353,2600,106.548000008879,0.32,516,330,93,93,165,686,1073,10.8,0,4,0,2650,28
LOCAL_DOC/HUANGYIMENG0522,–Ï¿§,XUkun/C41_BASE,C50,æ€±˚œ©œÀŒ¨,63.21,7.24,0.10989,291.666667,550,32.05125004,0.32,516,330,93,93,165,686,1073,10.8,0,0,1,910,28
