sample_id,source_file,strength_grade,w_b_ratio,restraint_code,restraint_percent,restraint_factor_R,time_h,time_h_norm,specimen_temperature_c,T_reference,delta_T_point,axial_stress_mpa,deformation_um,cube_strength_mpa,thermal_expansion_alpha,granularity
C30_wb0p36_R0,data\thermal_stress\raw\温度应力\C30温度应力\C30\基准C30\C30基准72.xls,C30,0.36,R0,0,0.0,0.0,0.0,20.777,20.777,0.0,0.0069,0.0,30.0,1e-05,point
C30_wb0p36_R0,data\thermal_stress\raw\温度应力\C30温度应力\C30\基准C30\C30基准72.xls,C30,0.36,R0,0,0.0,0.0717,0.0009764175417428712,19.4608,20.777,-1.316200000000002,0.0066,-0.3196,30.0,1e-05,point
C30_wb0p36_R0,data\thermal_stress\raw\温度应力\C30温度应力\C30\基准C30\C30基准72.xls,C30,0.36,R0,0,0.0,0.1517,0.002065865287062672,19.4326,20.777,-1.3444000000000003,0.0068,-0.1354,30.0,1e-05,point
C30_wb0p36_R0,data\thermal_stress\raw\温度应力\C30温度应力\C30\基准C30\C30基准72.xls,C30,0.36,R0,0,0.0,0.2584,0.003518916217382956,19.7205,20.777,-1.0564999999999998,0.0064,0.3081,30.0,1e-05,point
C30_wb0p36_R0,data\thermal_stress\raw\温度应力\C30温度应力\C30\基准C30\C30基准72.xls,C30,0.36,R0,0,0.0,0.3384,0.004608363962702756,20.0451,20.777,-0.7318999999999996,0.006,0.2524,30.0,1e-05,point
C30_wb0p36_R0,data\thermal_stress\raw\温度应力\C30温度应力\C30\基准C30\C30基准72.xls,C30,0.36,R0,0,0.0,0.445,0.00606005308334139,20.5189,20.777,-0.25810000000000244,0.0064,0.2291,30.0,1e-05,point
C30_wb0p36_R0,data\thermal_stress\raw\温度应力\C30温度应力\C30\基准C30\C30基准72.xls,C30,0.36,R0,0,0.0,0.525,0.007149500828661191,20.8328,20.777,0.05579999999999785,0.0076,0.0204,30.0,1e-05,point
C30_wb0p36_R0,data\thermal_stress\raw\温度应力\C30温度应力\C30\基准C30\C30基准72.xls,C30,0.36,R0,0,0.0,0.6317,0.008602551758981475,21.2474,20.777,0.47039999999999793,0.0083,0.0204,30.0,1e-05,point
C30_wb0p36_R0,data\thermal_stress\raw\温度应力\C30温度应力\C30\基准C30\C30基准72.xls,C30,0.36,R0,0,0.0,0.7117,0.009691999504301276,21.5528,20.777,0.7758000000000003,0.0088,0.0204,30.0,1e-05,point
C30_wb0p36_R0,data\thermal_stress\raw\温度应力\C30温度应力\C30\基准C30\C30基准72.xls,C30,0.36,R0,0,0.0,0.8184,0.01114505043462156,21.9635,20.777,1.1864999999999988,0.0095,0.0204,30.0,1e-05,point
C30_wb0p36_R0,data\thermal_stress\raw\温度应力\C30温度应力\C30\基准C30\C30基准72.xls,C30,0.36,R0,0,0.0,0.8984,0.012234498179941359,22.2598,20.777,1.4827999999999975,0.0172,0.0204,30.0,1e-05,point
C30_wb0p36_R0,data\thermal_stress\raw\温度应力\C30温度应力\C30\基准C30\C30基准72.xls,C30,0.36,R0,0,0.0,0.9784,0.013323945925261161,22.5531,20.777,1.7760999999999996,0.018,-0.6541,30.0,1e-05,point
C30_wb0p36_R0,data\thermal_stress\raw\温度应力\C30温度应力\C30\基准C30\C30基准72.xls,C30,0.36,R0,0,0.0,1.085,0.014775635045899793,22.8811,20.777,2.104099999999999,0.0181,-0.2843,30.0,1e-05,point
C30_wb0p36_R0,data\thermal_stress\raw\温度应力\C30温度应力\C30\基准C30\C30基准72.xls,C30,0.36,R0,0,0.0,1.165,0.015865082791219596,23.1754,20.777,2.3983999999999988,0.0193,-0.6578,30.0,1e-05,point
C30_wb0p36_R0,data\thermal_stress\raw\温度应力\C30温度应力\C30\基准C30\C30基准72.xls,C30,0.36,R0,0,0.0,1.2717,0.01731813372153988,23.5005,20.777,2.723499999999998,0.0196,-1.4721,30.0,1e-05,point
C30_wb0p36_R0,data\thermal_stress\raw\温度应力\C30温度应力\C30\基准C30\C30基准72.xls,C30,0.36,R0,0,0.0,1.3517,0.01840758146685968,23.7534,20.777,2.976399999999998,0.0213,-1.7824,30.0,1e-05,point
C30_wb0p36_R0,data\thermal_stress\raw\温度应力\C30温度应力\C30\基准C30\C30基准72.xls,C30,0.36,R0,0,0.0,1.4584,0.019860632397179962,24.0659,20.777,3.288899999999998,0.0228,-1.7824,30.0,1e-05,point
C30_wb0p36_R0,data\thermal_stress\raw\温度应力\C30温度应力\C30\基准C30\C30基准72.xls,C30,0.36,R0,0,0.0,1.5384,0.02095008014249976,24.2784,20.777,3.5014000000000003,0.0239,-2.2298,30.0,1e-05,point
